Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 63.0.3239.132,,2018-02-08 17:28:25,2018-02-08 17:28:48,22.531s,FAILED
,,,,,,
Test Cases/login,Chrome 63.0.3239.132,,2018-02-08 17:28:26,2018-02-08 17:28:37,11.622s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-08 17:28:26,2018-02-08 17:28:37,10.528s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:28:37,2018-02-08 17:28:37,0.308s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:28:37,2018-02-08 17:28:37,0.159s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:28:37,2018-02-08 17:28:37,0.253s,PASSED
,,,,,,
Test Cases/base,Chrome 63.0.3239.132,,2018-02-08 17:28:37,2018-02-08 17:28:46,8.356s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:28:38,2018-02-08 17:28:45,7.141s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:28:45,2018-02-08 17:28:45,0.421s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:28:45,2018-02-08 17:28:46,0.321s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:28:46,2018-02-08 17:28:46,0.132s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:28:46,2018-02-08 17:28:46,0.174s,PASSED
,,,,,,
Test Cases/goods,Chrome 63.0.3239.132,,2018-02-08 17:28:46,2018-02-08 17:28:47,1.102s,FAILED
click,Chrome 63.0.3239.132,,2018-02-08 17:28:46,2018-02-08 17:28:47,0.569s,FAILED
click,Chrome 63.0.3239.132,,2018-02-08 17:28:47,2018-02-08 17:28:47,0.375s,FAILED
