Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
data,,,2018-03-26 16:49:34,2018-03-26 16:49:36,2.653s,FAILED
,,,,,,
Test Cases/base,,,2018-03-26 16:49:34,2018-03-26 16:49:36,1.923s,FAILED
click,,,2018-03-26 16:49:35,2018-03-26 16:49:36,1.308s,FAILED
acceptAlert,,,2018-03-26 16:49:36,2018-03-26 16:49:36,0.018s,FAILED
setText,,,2018-03-26 16:49:36,2018-03-26 16:49:36,0.039s,FAILED
setText,,,2018-03-26 16:49:36,2018-03-26 16:49:36,0.013s,FAILED
setText,,,2018-03-26 16:49:36,2018-03-26 16:49:36,0.019s,FAILED
click,,,2018-03-26 16:49:36,2018-03-26 16:49:36,0.010s,FAILED
waitForElementNotPresent,,,2018-03-26 16:49:36,2018-03-26 16:49:36,0.183s,FAILED
verifyEqual,,,2018-03-26 16:49:36,2018-03-26 16:49:36,0.032s,FAILED
